id,content_type,instagram_type,product_type,url,shortcode,timestamp,date,day_of_week,hour_utc,caption,caption_length,hashtag_count,hashtags,mention_count,mentions,likes,comments,views,owner_username,pillar,engagement_score
3643172388474671544,post,Sidecar,,https://www.instagram.com/p/DKPJfwmi1G4/,DKPJfwmi1G4,2025-05-29T12:00:58.000Z,2025-05-29,Thursday,12,Beat the heat with a glass of our perfectly brewed iced tea. #treehouserestaurant #drinks #icedtea,98,3,treehouserestaurant drinks icedtea,0,,12,0,0,treehousegh,food,12
3649888632992031999,post,Sidecar,,https://www.instagram.com/p/DKnAl-vOeT_/,DKnAl-vOeT_,2025-06-07T18:24:12.000Z,2025-06-07,Saturday,18,🇬🇭🌳☀️☺️,10,0,,0,,193,11,0,britthappenshq,general brand/content,248
3611312840621400779,post,Sidecar,,https://www.instagram.com/p/DId9eUeC6LL/,DId9eUeC6LL,2025-04-15T12:00:53.000Z,2025-04-15,Tuesday,12,"If spicy fried fish and pilaf rice isn’t in your lunch plans, it should be. For orders, call 0599400737. #treehouserestaurant #food #fish #goodfood",147,4,treehouserestaurant food fish goodfood,0,,12,0,0,treehousegh,food,12
3596877723345681016,post,Video,clips,https://www.instagram.com/p/DHqrTt4iPp4/,DHqrTt4iPp4,2025-03-26T15:00:26.000Z,2025-03-26,Wednesday,15,"Come for the soulful tunes, stay for the mouthwatering dishes! Join us for “Soul Fridays” at #treehouserestaurant every Friday from 7pm, to feast on the best food and music for the soul. See you this Friday! #treehouserestaurant #SoulFridays #food #SoulMusic",258,4,treehouserestaurant soulfridays food soulmusic,0,,186,1,9130,treehousegh,food,282.3
3621429416876017699,post,Sidecar,,https://www.instagram.com/p/DJB5t4UC4gj/,DJB5t4UC4gj,2025-04-29T12:00:35.000Z,2025-04-29,Tuesday,12,"Ribeye done right. Rare, medium? Doesn’t matter - its love at first bite. #treehouserestaurant #ribeye #goodfood",112,3,treehouserestaurant ribeye goodfood,0,,17,0,0,treehousegh,food,17
3631575878972639276,post,Sidecar,,https://www.instagram.com/p/DJl8wVhCogs/,DJl8wVhCogs,2025-05-13T12:00:52.000Z,2025-05-13,Tuesday,12,"Crispy, creamy and everything in between. This Chicken Mayo Salad is the perfect bite of freshness. #treehouserestaurant #salad #goodfood #foodinsta #lunch #dinner",163,6,treehouserestaurant salad goodfood foodinsta lunch dinner,0,,13,0,0,treehousegh,food,13
3603400637456993724,post,Video,clips,https://www.instagram.com/p/DIB2cnDCk28/,DIB2cnDCk28,2025-04-04T15:00:42.000Z,2025-04-04,Friday,15,When the food is as good as the company. #perfection #perfectpairings #reels #explore #treehouserestaurant,106,5,perfection perfectpairings reels explore treehouserestaurant,0,,85,0,3662,treehousegh,food,121.62
3627951982390037518,post,Video,clips,https://www.instagram.com/p/DJZExs0iEwO/,DJZExs0iEwO,2025-05-08T12:00:05.000Z,2025-05-08,Thursday,12,"Laughter, love and a table full of flavor. #reels #treehouserestaurant #explore #funtimes",89,4,reels treehouserestaurant explore funtimes,0,,9,0,1168,treehousegh,date night/romance,20.68
3613456502889129480,post,Video,clips,https://www.instagram.com/p/DIlk4tiCCYI/,DIlk4tiCCYI,2025-04-24T12:00:11.000Z,2025-04-24,Thursday,12,"Tag your foodie squad, this is what weekends are made for. We've got a table for you, Call 0599400737 for reservations. #treehouserestaurant #reels #explore #goodtimes #goodvibesonly",182,5,treehouserestaurant reels explore goodtimes goodvibesonly,0,,10,0,1059,treehousegh,food,20.59
3608383339847375826,post,Video,clips,https://www.instagram.com/p/DITjYeRClvS/,DITjYeRClvS,2025-04-11T12:00:31.000Z,2025-04-11,Friday,12,"Let's turn dinner into a celebration! Join us for food, fun and dancing. #treehouserestaurant #explore #reels #dinner #goodfood #goodtimes",138,6,treehouserestaurant explore reels dinner goodfood goodtimes,0,,21,0,1565,treehousegh,food,36.65
